Ras	Geslacht	Gewicht	Hpscore	PUscore	Verkregen	AndereKatten	 Beweging 	LftEig	LengteEig	GewEig	GeslachtEig	Huishouden	BMI	LftKatDec	BMI25	HPobesitas	PUobesitas
Gewone huiskat/Europese korthaar	Gecastreerde kater	6	Overgewicht/Obesitas	7	Asiel	Geen andere katten	Eigen tuin of binnenplaats	14	183	59	Vrouw	Meer dan twee personen	17,6	5,1	0	1	1
Kruising/ander ras/onbekend	Gesteriliseerde poes	4,5	Ideaal gewicht	5	Aan komen lopen/gevonden	1 andere kat	Kat komt nooit binnenshuis	20	170	65	Vrouw	Meer dan twee personen	22,5	8,3	0	0	0
Gewone huiskat/Europese korthaar	Gecastreerde kater													5			
Gewone huiskat/Europese korthaar	Gesteriliseerde poes	4,1	Ideaal gewicht	5	Asiel	Geen andere katten	Ook buiten de tuin	18	170	66	Vrouw	Meer dan twee personen	22,8	7,2	0	0	0
Gewone huiskat/Europese korthaar	Gecastreerde kater	5,5	Overgewicht/Obesitas	6	Gekregen (van bekenden)	Geen andere katten	Ook buiten de tuin	17	165	50	Vrouw	Meer dan twee personen	18,4	8,5	0	1	1
Gewone huiskat/Europese korthaar	Kater	4,2	Ideaal gewicht	5	Zelf gefokt	2 of meer andere katten	Kat komt nooit binnenshuis	49	167	60	Vrouw	Meer dan twee personen	21,5	1,5	0	0	0
Gewone huiskat/Europese korthaar	Gecastreerde kater	5,5	Overgewicht/Obesitas	6	Anders, namelijk ...	Geen andere katten	Ook buiten de tuin	50	172	68	Vrouw	Meer dan twee personen	23	6,7	0	1	1
Gewone huiskat/Europese korthaar	Gesteriliseerde poes	3,9	Ideaal gewicht	4	Aan komen lopen/gevonden	1 andere kat	Ook buiten de tuin	48	168	85	Vrouw	Meer dan twee personen	30,1	3,5	1	0	0
Gewone huiskat/Europese korthaar	Gecastreerde kater	4,2	Ideaal gewicht	5	Zelf gefokt	1 andere kat	Ook buiten de tuin	18	170	60	Vrouw	Meer dan twee personen	20,8	3,4	0	0	0
Gewone huiskat/Europese korthaar	Gesteriliseerde poes	1,6	Ondergewicht	5	Gekregen (van bekenden)	Geen andere katten	Ook buiten de tuin	18	170	69	Vrouw	Meer dan twee personen	23,9	0,6	0	0	0
Gewone huiskat/Europese korthaar	Gecastreerde kater	6	Overgewicht/Obesitas	6	Gekregen (van bekenden)	2 of meer andere katten	Ook buiten de tuin	21	173	80	Vrouw	Meer dan twee personen	26,7	14,4	1	1	1
Kruising/ander ras/onbekend	Poes	1,1	Ideaal gewicht	5	Asiel	Geen andere katten	Eigen tuin of binnenplaats	25	180	80	Man	Twee personen	24,7	0,3	0	0	0
Kruising/ander ras/onbekend	Gesteriliseerde poes	4,7	Ideaal gewicht	6	Asiel	1 andere kat	Ook buiten de tuin	61	165	61	Vrouw	Twee personen	22,4	10	0	0	1
Gewone huiskat/Europese korthaar	Poes	3,4	Ondergewicht	4	Gekregen (van bekenden)	2 of meer andere katten	Ook buiten de tuin	15	190	80	Man	Meer dan twee personen	22,2	1,6	0	0	0
Gewone huiskat/Europese korthaar	Kater	5,4	Ideaal gewicht	4	Zelf gefokt	2 of meer andere katten	Ook buiten de tuin	19	181	84	Man	Meer dan twee personen	25,6	2,3	1	0	0
Gewone huiskat/Europese korthaar	Gecastreerde kater	5,9	Overgewicht/Obesitas	7	Zelf gefokt	Geen andere katten	Ook buiten de tuin	19	176	60	Vrouw	Meer dan twee personen	19,4	7,5	0	1	1
Kruising/ander ras/onbekend	Gesteriliseerde poes	4,4	Ideaal gewicht	4	Aan komen lopen/gevonden	2 of meer andere katten	Ook buiten de tuin	18	172	58	Vrouw	Meer dan twee personen	19,6	3,4	0	0	0
Gewone huiskat/Europese korthaar	Gesteriliseerde poes	4,8	Ideaal gewicht	5	Asiel	Geen andere katten	Ook buiten de tuin	13	180	63	Vrouw	Meer dan twee personen	19,4	5	0	0	0
Gewone huiskat/Europese korthaar	Poes	4,7	Ideaal gewicht	6	Gekregen (van bekenden)	Geen andere katten	Ook buiten de tuin	70	162	61	Vrouw	E‚n persoon	23,2	3,3	0	0	1
Britse Korthaar	Gesteriliseerde poes	2,5	Ideaal gewicht	6	Aan komen lopen/gevonden	Geen andere katten	Ook buiten de tuin	36	167	70	Vrouw	Meer dan twee personen	25,1	6,4	1	0	1
Gewone huiskat/Europese korthaar	Gesteriliseerde poes	5,1	Overgewicht/Obesitas	6	Asiel	Geen andere katten	Ook buiten de tuin	61	170	70	Man	Meer dan twee personen	24,2	9,2	0	1	1
Maine Coon	Gesteriliseerde poes	5,5	Ideaal gewicht	5	Fokker van raskatten	1 andere kat	Balkon	18	171	59	Man	Meer dan twee personen	20,2	14,3	0	0	0
Gewone huiskat/Europese korthaar	Gesteriliseerde poes	5,5	Overgewicht/Obesitas	7	Anders, namelijk ...	1 andere kat	Ook buiten de tuin	46	163	75	Vrouw	Meer dan twee personen	28,2	3,8	1	1	1
Kruising/ander ras/onbekend	Gecastreerde kater	5,5	Ondergewicht	4	Asiel	2 of meer andere katten	Ook buiten de tuin	18	172	50	Vrouw	Meer dan twee personen	16,9	12,3	0	0	0
Siamees	Gesteriliseerde poes	2,5	Weet niet/niet te bepalen	5	Anders, namelijk ...	1 andere kat	Ook buiten de tuin	19	188	70	Man	Meer dan twee personen	19,8	5,2	0	0	0
Gewone huiskat/Europese korthaar	Poes	3,4	Ondergewicht	5	Asiel	Geen andere katten	Ook buiten de tuin	19	170	67	Vrouw	Meer dan twee personen	23,2	1,3	0	0	0
Gewone huiskat/Europese korthaar	Poes	4	Ideaal gewicht	5	Aan komen lopen/gevonden	1 andere kat	Ook buiten de tuin	52	178	85	Man	E‚n persoon	26,8	2,4	1	0	0
Gewone huiskat/Europese korthaar	Gecastreerde kater	3,5	Ideaal gewicht	5	Asiel	1 andere kat	Ook buiten de tuin	50	170	70	Vrouw	Meer dan twee personen	24,2	8,1	0	0	0
Siamees	Gesteriliseerde poes	2,4	Ondergewicht	5	Gekregen (van bekenden)	2 of meer andere katten	Nee, alleen binnenshuis	47	180	75	Vrouw	Twee personen	23,1	5,7	0	0	0
Kruising/ander ras/onbekend	Gesteriliseerde poes	3,4	Ondergewicht	7	Gekregen (van bekenden)	Geen andere katten	Ook buiten de tuin	18	172	66	Vrouw	Meer dan twee personen	22,3	9,5	0	0	1
Gewone huiskat/Europese korthaar	Gesteriliseerde poes	4,3	Ideaal gewicht	5	Fokker van raskatten	1 andere kat	Ook buiten de tuin	51	176	67	Vrouw	Meer dan twee personen	21,6	6,2	0	0	0
Gewone huiskat/Europese korthaar	Gesteriliseerde poes	4	Ideaal gewicht	6	Asiel	Geen andere katten	Ook buiten de tuin	56	180	90	Vrouw	E‚n persoon	27,8	8	1	0	1
Gewone huiskat/Europese korthaar	Gesteriliseerde poes	3,3	Ondergewicht	5	Asiel	Geen andere katten	Eigen tuin of binnenplaats	52	175	80	Vrouw	Meer dan twee personen	26,1	13	1	0	0
Kruising/ander ras/onbekend	Gesteriliseerde poes	3,1	Ondergewicht	6	Zelf gefokt	2 of meer andere katten	Kat komt nooit binnenshuis	16	180	57	Man	Meer dan twee personen	17,6	7,3	0	0	1
Kruising/ander ras/onbekend	Kater	5,1	Overgewicht/Obesitas	5	Gekregen (van bekenden)	1 andere kat	Nee, alleen binnenshuis	55	192	89	Man	Meer dan twee personen	24,1	2	0	1	0
Gewone huiskat/Europese korthaar	Gesteriliseerde poes	2,9	Ondergewicht	4	Aan komen lopen/gevonden	Geen andere katten	Eigen tuin of binnenplaats	51	181	72	Vrouw	Meer dan twee personen	22	6,3	0	0	0
Gewone huiskat/Europese korthaar	Kater	2,5	Ondergewicht	3	Aan komen lopen/gevonden	Geen andere katten	Kat komt nooit binnenshuis	59	176	90	Man	Meer dan twee personen	29,1	6,5	1	0	0
Gewone huiskat/Europese korthaar	Gecastreerde kater	6,1	Overgewicht/Obesitas	5	Asiel	Geen andere katten	Balkon	18	172	53	Vrouw	Meer dan twee personen	17,9	7,2	0	1	0
Gewone huiskat/Europese korthaar	Gesteriliseerde poes	4,7	Ideaal gewicht	5	Asiel	Geen andere katten	Ook buiten de tuin	54	165	68	Vrouw	Meer dan twee personen	25	3,6	0	0	0
Gewone huiskat/Europese korthaar	Gecastreerde kater	5	Overgewicht/Obesitas	6	Zelf gefokt	2 of meer andere katten	Ook buiten de tuin	18	180	76	Man	Meer dan twee personen	23,5	13,1	0	1	1
Gewone huiskat/Europese korthaar	Gesteriliseerde poes	6,4	Overgewicht/Obesitas	7	Gekregen (van bekenden)	Geen andere katten	Ook buiten de tuin	57	185	83	Man	Twee personen	24,3	9,6	0	1	1
Britse Korthaar	Gesteriliseerde poes	3,8	Ideaal gewicht	4	Asiel	1 andere kat	Eigen tuin of binnenplaats	26	174	66	Vrouw	Twee personen	21,8	3,8	0	0	0
Gewone huiskat/Europese korthaar	Gesteriliseerde poes	4,5	Ideaal gewicht	7	Gekregen (van bekenden)	Geen andere katten	Eigen tuin of binnenplaats	49	164	63	Vrouw	Twee personen	23,4	15,2	0	0	1
Gewone huiskat/Europese korthaar	Gesteriliseerde poes	4,5	Ideaal gewicht	5	Gekregen (van bekenden)	2 of meer andere katten	Kat komt nooit binnenshuis	16	180	65	Vrouw	Meer dan twee personen	20,1	3,2	0	0	0
Gewone huiskat/Europese korthaar	Gecastreerde kater	4,1	Ideaal gewicht	6	Asiel	1 andere kat	Ook buiten de tuin	49	155	66	Vrouw	Meer dan twee personen	27,5	8,6	1	0	1
Gewone huiskat/Europese korthaar	Gecastreerde kater	3,2	Ondergewicht	3	Aan komen lopen/gevonden	Geen andere katten	Ook buiten de tuin	27	183	95	Man	Twee personen	28,4	16,1	1	0	0
Gewone huiskat/Europese korthaar	Gecastreerde kater	3,2	Ondergewicht	5	Asiel	1 andere kat	Ook buiten de tuin	58	180	80	Man	Twee personen	24,7	10,2	0	0	0
Gewone huiskat/Europese korthaar	Gecastreerde kater	4,5	Ideaal gewicht	5	Gekregen (van bekenden)	Geen andere katten	Ook buiten de tuin	17	180	64	Vrouw	Meer dan twee personen	19,8	12,4	0	0	0
Gewone huiskat/Europese korthaar	Gesteriliseerde poes	3,7	Ideaal gewicht	5	Gekregen (van bekenden)	Geen andere katten	Ook buiten de tuin	48	162	80	Vrouw	Meer dan twee personen	30,5	5,5	1	0	0
